last syscalls;syscall
"execvesyscall(""/usr/bin/uname"", [""uname""], 0x7ffd60536e10 /* 18 vars */)syscall0last_n_syscallsbrksyscall(NULL)syscall0x55f6bffa6000last_n_syscallsarch_prctlsyscall(0x3001 /* ARCH_??? */, 0x7ffcb7ec8c00)syscall-1last_n_syscallsmmapsyscall(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6fe000last_n_syscallsaccesssyscall(""/etc/ld.so.preload"", R_OK)syscall-1";"openatsyscall(AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC)syscall3"
"brksyscall(NULL)syscall0x55f6bffa6000last_n_syscallsarch_prctlsyscall(0x3001 /* ARCH_??? */, 0x7ffcb7ec8c00)syscall-1last_n_syscallsmmapsyscall(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6fe000last_n_syscallsaccesssyscall(""/etc/ld.so.preload"", R_OK)syscall-1last_n_syscallsopenatsyscall(AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC)syscall3";"newfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=108635, ...}, AT_EMPTY_PATH)syscall0"
"arch_prctlsyscall(0x3001 /* ARCH_??? */, 0x7ffcb7ec8c00)syscall-1last_n_syscallsmmapsyscall(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6fe000last_n_syscallsaccesssyscall(""/etc/ld.so.preload"", R_OK)syscall-1last_n_syscallsopenatsyscall(AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=108635, ...}, AT_EMPTY_PATH)syscall0";mmapsyscall(NULL, 108635, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbef6e3000
"mmapsyscall(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6fe000last_n_syscallsaccesssyscall(""/etc/ld.so.preload"", R_OK)syscall-1last_n_syscallsopenatsyscall(AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=108635, ...}, AT_EMPTY_PATH)syscall0last_n_syscallsmmapsyscall(NULL, 108635, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbef6e3000";closesyscall(3)syscall0
"accesssyscall(""/etc/ld.so.preload"", R_OK)syscall-1last_n_syscallsopenatsyscall(AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=108635, ...}, AT_EMPTY_PATH)syscall0last_n_syscallsmmapsyscall(NULL, 108635, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbef6e3000last_n_syscallsclosesyscall(3)syscall0";"openatsyscall(AT_FDCWD, ""/lib/x86_64-linux-gnu/libc.so.6"", O_RDONLY|O_CLOEXEC)syscall3"
"openatsyscall(AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=108635, ...}, AT_EMPTY_PATH)syscall0last_n_syscallsmmapsyscall(NULL, 108635, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbef6e3000last_n_syscallsclosesyscall(3)syscall0last_n_syscallsopenatsyscall(AT_FDCWD, ""/lib/x86_64-linux-gnu/libc.so.6"", O_RDONLY|O_CLOEXEC)syscall3";"readsyscall(3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0P\237\2\0\0\0\0\0""..., 832)syscall832"
"newfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=108635, ...}, AT_EMPTY_PATH)syscall0last_n_syscallsmmapsyscall(NULL, 108635, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbef6e3000last_n_syscallsclosesyscall(3)syscall0last_n_syscallsopenatsyscall(AT_FDCWD, ""/lib/x86_64-linux-gnu/libc.so.6"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsreadsyscall(3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0P\237\2\0\0\0\0\0""..., 832)syscall832";"pread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784"
"mmapsyscall(NULL, 108635, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbef6e3000last_n_syscallsclosesyscall(3)syscall0last_n_syscallsopenatsyscall(AT_FDCWD, ""/lib/x86_64-linux-gnu/libc.so.6"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsreadsyscall(3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0P\237\2\0\0\0\0\0""..., 832)syscall832last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784";"pread64syscall(3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0\3\0\0\0\0\0\0\0""..., 48, 848)syscall48"
"closesyscall(3)syscall0last_n_syscallsopenatsyscall(AT_FDCWD, ""/lib/x86_64-linux-gnu/libc.so.6"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsreadsyscall(3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0P\237\2\0\0\0\0\0""..., 832)syscall832last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallspread64syscall(3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0\3\0\0\0\0\0\0\0""..., 48, 848)syscall48";"pread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68"
"openatsyscall(AT_FDCWD, ""/lib/x86_64-linux-gnu/libc.so.6"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsreadsyscall(3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0P\237\2\0\0\0\0\0""..., 832)syscall832last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallspread64syscall(3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0\3\0\0\0\0\0\0\0""..., 48, 848)syscall48last_n_syscallspread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68";"newfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0"
"readsyscall(3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0P\237\2\0\0\0\0\0""..., 832)syscall832last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallspread64syscall(3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0\3\0\0\0\0\0\0\0""..., 48, 848)syscall48last_n_syscallspread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0";"pread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784"
"pread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallspread64syscall(3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0\3\0\0\0\0\0\0\0""..., 48, 848)syscall48last_n_syscallspread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784";mmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000
"pread64syscall(3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0\3\0\0\0\0\0\0\0""..., 48, 848)syscall48last_n_syscallspread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallsmmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000";mprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0
"pread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallsmmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000last_n_syscallsmprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0";mmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000
"newfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallsmmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000last_n_syscallsmprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0last_n_syscallsmmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000";mmapsyscall(0x7fcbef677000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1bd000)syscall0x7fcbef677000
"pread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallsmmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000last_n_syscallsmprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0last_n_syscallsmmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000last_n_syscallsmmapsyscall(0x7fcbef677000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1bd000)syscall0x7fcbef677000";mmapsyscall(0x7fcbef6d0000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x215000)syscall0x7fcbef6d0000
mmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000last_n_syscallsmprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0last_n_syscallsmmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000last_n_syscallsmmapsyscall(0x7fcbef677000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1bd000)syscall0x7fcbef677000last_n_syscallsmmapsyscall(0x7fcbef6d0000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x215000)syscall0x7fcbef6d0000;mmapsyscall(0x7fcbef6d6000, 52816, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6d6000
